Sorterings ID;Data type;Navn DK;A1tilA3;C3;C4;D;Deklareret faktor (FU);Deklareret enhed (FU);Masse faktor (densitet)
#B1318;Branche data;Krydslamineret træ, CLT (Forbrænding EoL);-664;744;0;-387;1;M3;470
#B1325;Branche data;Konstruktionstræ af nåletræ, Høvlet (Forbrænding EoL);-652;709;0;-425;1;M3;536
#B1332;Branche data;Konstruktionstræ af nåletræ, utørret og opsavet (Forbrænding EoL);-664;709;0;-425;1;M3;644
#B1339;Branche data;Limtræs-produkter af fyr og gran, (Forbrænding EoL);-610;743;0;-395;1;M3;500
#B1346;Branche data;Huldæk element, 22 cm, 6-10 forspændingsliner;49.8;1.04;0.76;-705;1;M2;344.6
#B1350;Branche data;Huldæk element, 32 cm, 6-10 forspændingsliner;66.4;1.04;1.03;-953;1;M2;459.6
#B1354;Branche data;Huldæk element, 32 cm, 11-17 forspændingsliner;67.9;1.37;1;-925;1;M2;451.4
#B1358;Branche data;Letklinkerblok, Massiv;194;1.06;1.19;-1.1;1;M3;600
#B1362;Branche data;Letklinkerblok med hvid EPS isolering;130;961;6.19;-4.39;1;M3;375
#B1366;Branche data;Letklinkerblok med grå EPS isolering;121;836;618;-572;1;M3;327
#B1370;Branche data;Konstruktionstræ af fyr og gran, Høvlet (Forbrænding EoL);-670;728;0;-371;1;M3;456
#B1377;Branche data;Sandwichelement med mineraluld (Facade);90.6;1.51;1.25;-1.21;1;M2;501.8
#B1381;Branche data;Sandwichelement med EPS (Facade);87.3;1.49;10.08;-7.83;1;M2;495.2
#B1385;Branche data;Beton vægelementer, 15 cm tyk væg med 5-15 kg armering  (11% udsparinger);53.1;965;0.07;-787;1;M2;320.9
#B1389;Branche data;Beton vægelementer, 20 cm tyk væg med 5-15 kg armering (11% udsparinger);66.9;1.28;0.93;-1.01;1;M2;426.4
#B1393;Branche data;Beton vægelementer, 20 cm tyk væg med 16-25 kg armering (11% udsparinger);73.2;1.29;932;-1.08;1;M2;433.9
#B1397;Branche data;Letbeton vægelement, 100 mm tyk væg, 10% udsparinger;26.8;486;356;-363;1;M2;161.5
#B1401;Branche data;Letbeton vægelement, 150 mm tyk væg, 10% udsparinger;38.6;744;538;-621;1;M2;242.4
#B1405;Branche data;Letbeton vægelement, 220 mm tyk væg, 10% udsparinger;63;1.15;836;-931;1;M2;394.8
#B1409;Branche data;TT-element/Ribbedæk, TT60 med 12-18 STK. L12,5 liner, og 1,3-3,3 kg slap armering;56.3;1;734;-695;1;M2;332.7
#B1413;Branche data;TT-element/Ribbedæk, TTS90 med 16-22 STK. L12,5 liner, og 1-2,5 kg slap armering;55.3;908;658;-613;1;M2;302
#B1417;Branche data;TT-element/Ribbedæk, TT60 med 20-28 STK. L12,5 liner, og 2-4 kg slap armering;57.7;1.01;734;-711;1;M2;335.1
#B1425;Branche data;Fabriksbeton (C20/25 SCC) i eksponeringsklasserne X0 og XC1;215;6.94;5.13;-4.74;1;M3;2212
#B1433;Branche data;Fabriksbeton (C25/30) i eksponeringsklasserne X0 og XC1;241;6.73;4.97;-4.6;1;M3;2246
#B1437;Branche data;Fabriksbeton C35/45 – CEM I SR-5;403;6.85;5.06;-4.68;1;M3;2304
#B1441;Branche data;Fabriksbeton C35/45 – CEM I;362;7.07;5.23;-4.84;1;M3;2267
#B1445;Branche data;Fabriksbeton C35/45 (fugebeton);377;6.63;4.09;-4.54;1;M3;2256
#B1453;Branche data;Fabriksbeton C40/50 – CEM I SR-5;465;6.95;5.14;-4.76;1;M3;2284
#B1461;Branche data;Fabriksbeton C40/50 – CEM I;429;6.77;5;-4.63;1;M3;2267
#B1469;Branche data;Fabriksbeton C45/55;426;6.75;4.99;-4.62;1;M3;2229
#B1477;Branche data;Fabriksbeton C30/37;282;6.72;4.97;-4.6;1;M3;2255
#B1485;Branche data;Fabriksbeton C35/45 SCC;300;6.54;4.83;-4.47;1;M3;2254
#B1489;Branche data;Konstruktionstræ af fyr og gran, Savede og tørrede (Forbrænding EoL);-680;728;0;-371;1;M3;456
#B1496;Branche data;Krydsfiner, ubehandlet (Forbrænding EoL);-599;743;0;-391;1;M3;480
#G0000;Generisk data;Brandsikkert glas Pyrobel;71.6;-;645;-;1;M2;50.05
#G0002;Generisk data;VVS-rør, blanke kobberrør;1.97;-;0.000949;-733;1;KG;1
#G0005;Generisk data;Tagsten, beton;0.255909;-;0.01607;-0.002681;1;KG;1
#G0008;Generisk data;Tæppeflise;20;0.0341;4.56;-0.0958;1;M2;1.02
#G0012;Generisk data;Træfiberisolering;-156.3;238.2;-;-124;1;M3;157.49
#G0015;Generisk data;Zink, patineret;2.09;-;#G0122;#G0122;1;KG;1
#G0016;Generisk data;Fugemørtel;465;#G0789;-;-;1;KG;1
#G0017;Generisk data;Vandtætningsmembran, flydende;1.11;#G0789;-;-;1;KG;1
#G0018;Generisk data;VVS-rør, PE-skumbelagt kobberrør;2.29;-;377;-868;1;KG;1
#G0021;Generisk data;VVS-rør, PE-belagt kobberrør;2.07;-;964;-1.1;1;KG;1
#G0024;Generisk data;VVS-rør, PU-skumbelagt kobberrør;2.85;-;611;-952;1;KG;1
#G0027;Generisk data;PU skumplade (12cm);14.08;102;8.74;-4;1;M2;3.96
#G0031;Generisk data;VVS-rør, PVC-belagt kobberrør;1.83;-;987;-1.12;1;KG;1
#G0034;Generisk data;WPC facadepanel;-558;8.78167;-;-2.74917;1;M2;7.79
#G0037;Generisk data;WPC terrassebelægning;253;21.0833;-;-4.87195;1;M2;18.36
#G0040;Generisk data;EPS isolering (grå) med termisk strålings absorber;49.7;-;55.6;-28.7;1;M3;16.06
#G0043;Generisk data;EPS isolering til vægge og tage 035;59.5;-;75.2;-39.6;1;M3;22.07
#G0046;Generisk data;EPS isolering til lofter / gulve og kælderydervæg / terrændæk 035;75.4;-;85.9;-45.2;1;M3;25.9
#G0049;Generisk data;EPS isolering til vægge og tage 040;52.5;-;59.5;-31.3;1;M3;18
#G0052;Generisk data;EPS isolering til lofter / gulve og kælderydervæg / terrændæk 040;53.8;-;61;-32.1;1;M3;18.05
#G0055;Generisk data;PU skumisolering, belagt med aluminium på begge sider (12 cm);12.09;106;8.56;-4.98;1;M2;3.72
#G0085;Generisk data;Celleglas-isolering 115 kg/m³;1.32;-;#G0912;-;1;KG;1
#G0086;Generisk data;Stål, valsede profiler og plader;1.125;0.001844;-;-0.4134;1;KG;1
#G0092;Generisk data;Overflade, Facademaling, grunder, dispersion;2.10646;-;0.0150055;-0.00942649;1;KG;1
#G0095;Generisk data;Rør til el-varmepumpe (vand-vand) 70 kW;417.966;0.0147327;-;-28.0661;1;STK;123
#G0098;Generisk data;Gipssten;0.00230588;-;0.0150055;-;1;KG;1
#G0100;Generisk data;Boksventilator 30.000 m³/h,;846.712;11.8708;0.0982552;-506.236;1;STK;167.8000002
#G0104;Generisk data;Varmepumpe, jordvarmesonde, 70 Kw;6262.06;11.4807;0.0300174;-267.67;1;STK;4854.66
#G0108;Generisk data;Glasfiberdug;0.293104;0;0.00196436;-;1;M2;0.12
#G0111;Generisk data;Curtain wall facade med 3-lags ruder, stål;97.0738;6.20355;0.420155;-15.4654;1;M2;21.04
#G0115;Generisk data;Lavagrus;0.00379143;#G0789;-;-;1;KG;1
#G0116;Generisk data;Teglsten, formur;528.541;13.207;-;-3.69717;1;M3;1800
#G0119;Generisk data;Rør, Afløbsrør, PVC;1.91881;0.607628;-;-0.259614;1;KG;1
#G0122;Generisk data;Stål, varmvalset plade, Genanvendelse;-;-;0.00068207;-1.81062;1;KG;1
#G0127;Generisk data;Teflon-membran, polytetrafluoroethylen (PTFE);14.4411;0.364086;-;-0.167871;1;KG;1
#G0130;Generisk data;Decentralt ventilationsanlæg med varmegenvinding (væg & loft) 60 m3 / h;25.3286;4.48641;0.0504797;-11.696;1;STK;3.69
#G0134;Generisk data;Varmepumpe (luft-vand) 7kW;321.294;21.0599;2.99723;-169.065;1;STK;93.8
#G0138;Generisk data;Gips, beta-halvhydrat;0.103165;-;0.0150055;-;1;KG;1
#G0140;Generisk data;Gulvvarmesystem inkl. isolering, PEX (100 mm afstand);7.74763;6.68108;-;-2.78435;1;M2;1.09
#G0143;Generisk data;Overflade, Anodisering af aluminiumplade;6.11931;#G1298;-;-;1;M2;1
#G0144;Generisk data;Overflade, Pulverlakering (Industri, udendørs, hvid);4.73516;1.04568;-;-0.321226;1;KG;1
#G0147;Generisk data;Beslag, stålvindue;9.27171;-;#G0204;#G0204;1;STK;2.63
#G0148;Generisk data;Armeringsnet;0.683355;-;#G0204;#G0204;1;KG;1
#G0149;Generisk data;Afretningslag, hårdt plast;0.3311;-;0.0163697;-;1;KG;1
#G0151;Generisk data;Boksventilator 10.000 m³/h,;343.014;4.80918;0.0398429;-205.411;1;STK;68
#G0158;Generisk data;Grus 2-32 mm, tørret;0.0332595;0.00733722;-;-0.00205398;1;KG;1
#G0161;Generisk data;Polystyren skumfyldning (uden bindemiddel);48.8671;55.4102;-;-23.208;1;M3;15
#G0164;Generisk data;Oliekedel, lav temperatur, 20-120 kW;1287.48;19.0828;1.59552;-223.013;1;STK;354
#G0171;Generisk data;Fibercementplade;6.993;-;0.195072;-;1;M2;13
#G0173;Generisk data;Ekspanderet glasgranulat;0.273532;-;#G0912;-;1;KG;1
#G0174;Generisk data;Rør, Kloakrør PVC;2.8225;3.01298;-;-0.66727;1;KG;1
#G0177;Generisk data;Gaskedel, kondenserende, < 20 kW;446.213;9.15866;0.638208;-63.1364;1;STK;118
#G0181;Generisk data;EPDM skum (rørisolering);245.125;137.702;-;-69.5688;1;M3;55
#G0184;Generisk data;Vindueskarm, aluminium;15.7712;0.693459;-;-9.51688;1;M;1.43
#G0187;Generisk data;Stokerfyr  20-120 KW;2218.21;5.08292;1.80285;-998.687;1;STK;921
